"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"D2","WS2812b","0mm","-25mm","0mm","-25mm","2.45mm","-26.35mm","T","180.00","WS2812b"
"C2","CAP_0805_HIGH","5mm","-25mm","5mm","-25mm","5mm","-24.15mm","T","270.00","100nF"
"R3","RES_0402_HIGH","-25.908mm","0.508mm","-25.908mm","0.508mm","-25.683mm","0.1183mm","T","120.00","10k"
"U3","LM3671-BGA","-24.892mm","-17.272mm","-24.892mm","-17.272mm","-25.142mm","-17.705mm","T","120.00","LM3671"
"U2","ESP32-PICO-D4","-26.54mm","-6.016mm","-26.54mm","-6.016mm","-30.8595mm","-5.3344mm","T","30.00","ESP32-PICO-D4"
"U1","NTB0101","-21.844mm","-13.208mm","-21.844mm","-13.208mm","-20.588mm","-13.2334mm","T","210.00","NTB0101"
"R1","RES_0402_HIGH","-29.972mm","-10.16mm","-29.972mm","-10.16mm","-30.197mm","-9.7703mm","T","300.00","10k"
"L1","CIGT201610EH2R2MNE","-26.0928mm","-15.64mm","-26.0928mm","-15.64mm","-26.7856mm","-16.04mm","T","30.00","CIGT201610EH2R2MNE"
"C9","CAP_0402_HIGH","-26.924mm","0mm","-26.924mm","0mm","-27.149mm","0.3897mm","T","300.00","100nF"
"C8","CAP_0603_HIGH","-31.496mm","-8.128mm","-31.496mm","-8.128mm","-31.846mm","-7.5218mm","T","300.00","10uF"
"C7","CAP_0603_HIGH","-24.0608mm","-14.624mm","-24.0608mm","-14.624mm","-23.7108mm","-15.2302mm","T","120.00","10uF"
"C6","CAP_0603_HIGH","-23.876mm","-18.796mm","-23.876mm","-18.796mm","-24.4822mm","-19.146mm","T","30.00","4.7uF"
"C5","CAP_0402_HIGH","-21.336mm","-15.24mm","-21.336mm","-15.24mm","-20.9463mm","-15.015mm","T","210.00","100nF"
"C4","CAP_0402_HIGH","-24.892mm","-12.7mm","-24.892mm","-12.7mm","-24.5023mm","-12.475mm","T","210.00","100nF"
"ANT1","2450AT18D0100E","-34.8468mm","-1.6436mm","-34.8468mm","-1.6436mm","-33.5339mm","-2.6176mm","T","120.00","2450AT18D0100E"
"C1","CAP_0805_HIGH","-24.1506mm","8.1699mm","-24.1506mm","8.1699mm","-23.4145mm","7.7449mm","T","150.00","100nF"
"C3","CAP_0805_HIGH","19.1506mm","16.8301mm","19.1506mm","16.8301mm","18.4145mm","16.4051mm","T","30.00","100nF"
"D1","WS2812b","-21.6506mm","12.5mm","-21.6506mm","12.5mm","-24.0448mm","11.0532mm","T","60.00","WS2812b"
"D3","WS2812b","21.6506mm","12.5mm","21.6506mm","12.5mm","21.5948mm","15.2968mm","T","300.00","WS2812b"

